id,year,month,day
1498,1942,10,14
1499,1959,01,25
1500,1999,07,04
1501,1969,07,10
1502,2009,06,15
1503,2002,02,15
1504,1961,02,23
1505,1957,03,20
1506,1979,04,11
1507,1982,10,02
1508,1976,03,15
1509,1971,08,28
1510,1955,03,18
1511,1959,01,30
1512,1953,07,15
1513,1969,04,25
1514,1997,02,12
1515,1954,10,01
1516,1963,12,30
1517,1946,07,28
1518,1957,02,04
1519,1992,08,13
1520,2016,08,03
1521,2010,02,04
1522,1965,05,22
1523,1997,08,11
1524,1965,05,10
1525,2019,04,27
1526,1980,04,12
1527,1940,01,22
1528,1993,04,23
1529,1991,07,21
1530,1942,09,08
1531,2010,11,21
1532,1978,02,15
1533,2019,10,04
1534,1974,01,06
1535,1967,05,08
1536,1977,09,16
1537,2015,02,07
1538,1988,02,28
1539,2000,03,22
1540,1984,07,15
1541,1988,11,01
1542,1999,01,03
1543,1945,02,05
1544,2017,04,09
1545,1960,04,07
1546,1987,03,19
1547,1994,09,17
1548,2017,05,22
1549,1942,12,25
1550,2003,07,31
1551,1978,09,26
1552,1969,12,22
1553,1969,09,14
1554,1967,01,08
1555,1948,10,09
1556,2019,07,10
1557,1996,07,19
1558,1975,08,22
1559,1966,08,12
1560,1977,10,14
1561,1980,10,11
1562,1986,09,27
1563,2019,09,06
1564,1942,03,07
1565,1943,08,14
1566,1985,01,03
1567,1995,10,23
1568,2004,03,13
1569,2008,10,27
1570,2009,06,21
1571,1989,05,27
1572,1945,04,01
1573,2014,04,24
1574,1958,06,04
1575,1960,10,23
1576,1977,12,03
1577,1962,08,17
1578,2004,05,14
1579,1958,05,16
1580,1947,03,21
1581,1946,10,03
1582,2007,09,28
1583,1998,12,04
1584,1981,01,09
1585,1986,04,15
1586,2005,03,18
1587,1970,11,21
1588,1984,03,25
1589,1976,10,14
1590,2005,03,11
1591,2012,10,26
1592,1998,05,01
1593,2003,05,26
1594,2016,10,25
1595,1997,12,06
1596,1983,11,17
1597,1940,09,21
1598,1947,03,16
1599,2019,08,31
1600,1958,10,14
1601,1967,12,24
1602,1955,08,09
1603,1965,01,25
1604,1991,12,30
1605,1973,03,26
1606,1965,06,07
1607,1966,11,15
1608,2006,02,28
1609,1962,09,23
1610,1962,11,24
1611,1965,09,03
1612,1991,02,19
1613,1979,10,18
1614,2006,05,13
1615,1969,06,12
1616,1974,03,06
1617,2015,01,24
1618,1989,01,22
1619,1966,03,16
1620,2001,08,10
1621,1968,03,04
1622,1988,05,05
1623,2020,02,19
1624,2007,10,07
1625,1971,04,13
1626,1972,01,14
1627,1980,10,23
1628,2019,01,03
1629,1955,10,13
1630,1941,12,20
1631,1950,12,03
1632,1973,09,03
1633,1994,12,27
1634,2008,05,16
1635,2006,01,08
1636,1986,08,09
1637,1941,02,20
1638,2003,02,13
1639,2017,04,17
1640,2017,05,09
1641,1983,06,12
1642,2013,01,20
1643,1976,07,07
1644,1958,01,06
1645,1945,09,25
1646,2017,03,18
1647,1960,02,24
1648,1981,07,18
1649,1999,07,11
1650,1956,08,13
1651,1993,10,01
1652,2015,03,08
1653,1952,12,27
1654,1973,04,08
1655,1999,06,13
1656,1969,01,26
1657,1977,03,15
1658,1947,05,16
1659,2006,10,25
1660,1967,06,16
1661,2015,06,26
1662,2019,06,22
1663,1974,10,06
1664,1958,01,07
1665,1976,01,12
1666,2000,11,02
1667,1996,08,19
1668,2008,07,05
1669,1990,03,25
1670,2003,11,12
1671,1955,09,03
1672,1978,01,09
1673,1982,08,21
1674,2003,02,24
1675,1974,11,09
1676,2009,12,26
1677,2016,11,14
1678,1993,07,29
1679,2001,08,07
1680,1992,02,16
1681,1993,08,25
1682,1998,08,08
1683,1942,08,03
1684,1952,04,17
1685,1983,08,01
1686,1965,11,16
1687,1985,06,20
1688,1997,05,23
1689,1994,08,11
1690,1943,05,28
1691,1959,12,02
1692,1996,09,14
1693,2011,07,17
1694,1990,07,22
1695,1992,08,25
1696,1982,11,20
1697,1992,04,27
1698,1976,07,31
1699,1995,10,12
1700,1998,01,13
1701,1959,04,01
1702,1978,06,23
1703,1963,09,16
1704,2018,12,16
1705,2017,06,06
1706,1996,10,08
1707,1968,10,28
1708,1961,10,23
1709,2001,07,20
1710,1994,08,10
1711,1965,10,17
1712,1967,09,12
1713,1956,03,10
1714,1985,01,05
1715,1955,01,07
1716,1969,07,21
1717,1964,05,14
1718,1979,03,04
1719,2006,07,05
1720,1940,02,02
1721,2011,11,16
1722,1988,07,18
1723,1999,05,15
1724,1957,09,02
1725,1972,01,18
1726,1951,06,09
1727,1943,07,24
1728,2005,04,21
1729,1978,04,04
1730,1986,08,23
1731,1972,12,09
1732,1970,08,24
1733,2004,07,08
1734,1964,10,25
1735,1994,11,02
1736,1987,12,24
1737,1980,12,10
1738,1998,11,25
1739,1980,03,09
1740,1981,06,29
1741,1947,10,24
1742,1975,12,29
1743,2018,01,04
1744,1996,01,08
1745,2013,04,25
1746,1967,12,14
1747,1988,04,09
1748,1962,12,08
1749,2015,06,09
1750,2014,02,21
1751,1988,05,20
1752,1993,04,28
1753,1979,12,07
1754,1991,02,18
1755,2017,01,04
1756,1998,04,22
1757,1948,11,15
1758,2008,04,29
1759,1948,06,08
1760,1953,02,06
1761,1996,12,09
1762,1947,02,02
1763,1999,05,26
1764,1990,04,04
1765,1983,07,12
1766,1972,02,12
1767,1955,12,29
1768,1975,03,09
1769,1986,07,04
1770,1986,04,11
1771,1987,05,19
1772,1984,07,04
1773,1956,05,18
1774,1947,07,26
1775,1961,12,06
1776,1944,09,30
1777,2002,09,26
1778,1948,06,13
1779,1963,12,28
1780,1956,07,27
1781,1994,12,19
1782,1954,06,28
1783,1954,03,09
1784,1969,05,19
1785,2009,03,14
1786,1968,02,07
1787,2006,04,17
1788,1977,08,12
1789,2009,12,11
1790,2008,05,25
1791,1967,11,23
1792,2002,08,07
1793,1958,12,22
1794,1956,04,15
1795,1967,01,14
1796,1982,10,13
1797,2008,10,05
1798,1974,08,16
1799,1987,05,10
1800,1958,07,02
1801,2003,09,27
1802,1949,03,08
1803,1994,07,31
1804,2017,04,30
1805,2020,01,11
1806,1984,06,07
1807,1945,07,13
1808,1975,06,19
1809,1993,12,28
1810,1940,11,03
1811,1968,01,08
1812,1943,09,14
1813,1999,05,12
1814,1985,02,19
1815,1990,04,22
1816,1962,08,02
1817,1948,03,30
1818,2005,07,04
1819,1964,08,31
1820,1958,02,26
1821,2009,07,23
1822,1996,02,14
1823,1983,10,10
1824,1967,07,15
1825,1972,08,15
1826,1941,11,03
1827,1995,06,27
1828,1950,05,07
1829,2003,11,25
1830,2013,06,10
1831,2016,05,10
1832,2003,11,19
1833,1974,01,22
1834,1999,01,09
1835,1957,01,02
1836,2002,10,11
1837,1975,07,01
1838,2019,06,12
1839,1974,05,08
1840,1946,09,01
1841,2010,03,29
1842,1958,03,03
1843,1949,04,24
1844,1953,10,31
1845,1966,06,25
1846,1945,02,03
1847,1992,09,27
1848,1987,03,25
1849,1945,02,10
1850,1970,10,29
1851,1961,01,13
1852,1962,06,10
1853,2005,11,03
1854,2009,03,27
1855,2015,04,28
1856,2017,08,27
1857,1966,02,17
1858,1975,02,25
1859,1987,08,10
1860,1946,12,30
1861,1978,06,23
1862,1946,12,23
1863,1983,03,02
1864,2013,03,27
1865,1950,07,14
1866,2014,03,22
1867,1994,07,25
1868,2012,11,07
1869,1985,10,07
1870,1952,10,29
1871,1948,08,14
1872,1948,01,02
1873,1983,06,07
1874,1978,12,26
1875,2004,02,09
1876,2009,11,12
1877,1942,05,21
1878,2020,03,04
1879,1978,05,05
1880,1978,10,04
1881,1967,03,19
1882,2016,11,04
1883,1986,06,29
1884,1992,12,23
1885,1968,01,08
1886,1954,04,27
1887,2016,12,24
1888,1968,03,05
1889,1994,09,07
1890,2008,06,11
1891,2018,06,09
1892,1961,11,30
1893,2007,04,15
1894,2019,06,05
1895,2010,07,19
1896,1948,08,12
1897,2001,01,06
1898,2001,12,30
1899,1970,05,29
1900,2014,03,18
1901,1962,05,05
1902,1974,04,15
1903,2015,05,09
1904,1949,04,02
1905,1968,06,30
1906,1945,09,16
1907,1951,11,22
1908,1945,05,06
1909,2012,01,01
1910,1966,05,28
1911,1974,12,31
1912,2015,02,14
1913,1988,01,04
1914,2020,03,03
1915,2007,03,06
1916,1965,06,19
1917,2008,06,14
1918,1980,07,26
1919,1984,01,03
1920,1976,08,28
1921,1990,05,28
1922,2012,08,19
1923,1940,03,08
1924,1959,01,03
1925,1954,08,03
1926,1999,09,29
1927,1981,02,08
1928,2012,04,21
1929,1993,06,02
1930,2008,11,07
1931,1980,01,18
1932,1994,10,20
1933,1983,07,28
1934,2016,11,09
1935,1952,02,29
1936,1997,12,06
1937,1969,10,16
1938,2000,01,27
1939,1949,02,21
1940,2018,12,28
1941,1999,03,19
1942,1967,07,27
1943,1955,04,25
1944,1969,07,05
1945,2007,04,08
1946,1954,09,12
1947,1962,11,29
1948,1972,03,16
1949,1988,10,01
1950,2006,01,01
1951,1989,08,26
1952,1940,06,08
1953,2002,04,03
1954,2007,08,26
1955,2000,07,26
1956,1941,03,10
1957,1978,11,05
1958,1985,11,27
1959,1988,03,11
1960,1964,04,07
1961,2005,03,14
1962,1946,09,08
1963,2016,05,25
1964,2013,01,01
1965,2001,05,21
1966,1982,05,22
1967,1998,08,23
1968,2008,08,18
1969,1958,06,17
1970,1998,04,12
1971,1994,01,20
1972,1951,01,01
1973,2019,07,16
1974,1957,11,28
1975,1973,11,15
1976,1977,02,06
1977,2003,05,26
1978,2013,02,01
1979,1958,05,17
1980,1950,10,14
1981,2001,11,01
1982,1991,04,17
1983,1956,01,18
1984,2015,10,24
1985,1980,02,16
1986,1959,03,29
1987,1958,11,10
1988,1956,10,05
1989,1994,09,16
1990,1991,03,07
1991,1946,02,05
1992,1952,02,02
1993,2011,05,09
1994,1996,04,09
1995,1972,09,16
1996,1963,10,31
1997,2002,07,22
1998,2014,06,10
1999,2009,04,07
2000,1975,10,09
2001,1957,03,07
2002,1978,04,14
2003,1977,02,05
2004,1994,03,11
2005,1965,04,30
2006,1974,01,29
2007,1981,05,04
2008,1959,03,30
2009,1990,08,04
2010,1944,01,06
2011,2010,01,13
2012,2004,02,16
2013,1979,11,12
2014,1955,09,09
2015,2001,10,04
2016,1976,08,24
2017,1977,03,27
2018,1982,02,04
2019,1941,01,19
2020,1963,05,25
2021,2004,06,30
2022,1951,11,24
2023,1945,03,28
2024,1981,03,13
2025,1968,12,22
2026,2019,10,21
2027,1948,03,30
2028,2019,10,13
2029,1962,12,23
2030,1949,09,01
2031,1993,01,09
2032,1985,09,04
2033,1990,02,24
2034,1974,10,13
2035,1949,01,30
2036,1954,04,04
2037,1975,04,12
2038,1959,03,10
2039,1940,10,16
2040,1974,05,24
2041,1980,02,20
2042,1980,02,18
2043,1964,09,02
2044,1972,06,11
2045,1980,04,06
2046,1950,10,23
2047,1959,06,05
2048,1970,12,15
2049,1977,11,04
2050,1981,01,16
2051,1999,09,11
2052,2015,05,31
2053,1988,12,28
2054,2018,07,04
2055,1993,02,23
2056,1972,02,28
2057,1960,07,31
2058,2017,03,20
2059,1953,09,08
2060,1969,01,16
2061,1993,02,21
2062,1977,07,28
2063,1965,01,24
2064,1948,08,22
2065,2007,03,08
2066,1997,02,01
2067,1955,12,19
2068,1966,07,11
2069,1991,02,02
2070,2003,12,29
2071,1997,10,16
2072,2014,09,14
2073,2018,11,30
2074,1989,01,18
2075,1943,04,05
2076,1990,04,29
2077,1958,12,06
2078,2003,05,23
2079,2006,03,07
2080,1967,03,12
2081,2007,08,27
2082,2015,05,08
2083,1987,06,12
2084,1995,09,21
2085,1942,04,08
2086,2005,12,16
2087,2009,03,24
2088,1989,05,15
2089,2014,05,25
2090,1978,03,26
2091,1962,12,01
2092,1988,01,19
2093,2012,12,11
2094,2005,11,18
2095,1990,07,19
2096,1984,05,01
2097,1966,05,12
2098,2014,04,02
2099,1952,10,02
2100,2004,07,20
2101,1957,05,10
2102,2015,03,31
2103,1960,07,05
2104,1940,06,13
2105,2019,02,14
2106,1988,01,14
2107,1943,10,28
2108,1991,12,31
2109,2001,06,14
2110,2014,09,28
2111,1983,05,09
2112,1993,10,07
2113,1997,06,27
2114,1960,11,02
2115,2016,03,06
2116,1987,04,05
2117,1981,07,05
2118,1952,01,01
2119,1947,08,07
2120,1995,12,13
2121,1989,07,05
2122,2015,11,11
2123,1992,07,26
2124,1954,12,12
2125,1990,03,17
2126,1958,06,14
2127,1998,05,22
2128,1972,06,29
2129,1988,07,09
2130,2015,02,15
2131,1953,11,29
2132,1942,12,03
2133,1946,10,27
2134,1948,08,26
2135,2005,12,04
2136,1951,01,25
2137,2015,04,20
2138,1973,05,02
2139,1998,05,17
2140,1969,05,24
2141,1961,10,04
2142,2001,09,18
2143,2010,01,18
2144,1958,08,24
2145,1945,12,20
2146,2002,02,03
2147,1951,12,10
2148,2003,11,02
2149,1987,05,05
2150,1983,03,22
2151,2010,11,15
2152,2016,02,10
2153,1945,02,24
2154,1967,08,15
2155,2012,06,27
2156,1989,09,03
2157,1964,06,05
2158,1987,03,08
2159,1940,03,29
2160,2002,04,17
2161,1970,05,11
2162,1954,12,17
2163,1968,09,08
2164,2014,08,11
2165,2004,05,05
2166,1952,10,23
2167,1975,10,25
2168,1955,02,10
2169,1972,12,02
2170,1947,11,15
2171,2014,10,15
2172,2009,11,11
2173,1940,04,28
2174,1945,08,08
2175,1981,12,13
2176,2013,02,07
2177,1989,03,15
2178,1967,11,06
2179,2002,05,31
2180,1951,11,13
2181,1968,09,26
2182,1948,06,18
2183,1998,02,02
2184,2011,08,05
2185,1946,09,25
2186,1993,12,08
2187,1973,12,01
2188,1986,07,23
2189,1959,09,24
2190,1958,09,29
2191,1976,12,09
2192,2007,05,11
2193,1940,11,08
2194,1950,05,15
2195,1946,06,08
2196,1955,02,21
2197,1942,03,12
2198,2013,09,05
2199,2017,09,03
2200,1974,02,15
2201,1967,06,11
2202,1967,05,17
2203,1978,03,22
2204,2004,09,13
2205,1973,07,26
2206,2013,07,13
2207,1959,03,25
2208,1975,07,06
2209,1981,11,21
2210,1976,06,05
2211,1982,04,26
2212,1955,01,03
2213,2007,10,11
2214,1941,05,06
2215,1999,01,10
2216,1972,12,01
2217,1998,12,03
2218,2007,12,16
2219,1965,12,22
2220,1976,12,27
2221,1947,07,15
2222,1998,07,18
2223,1956,07,04
2224,1982,01,09
2225,1951,06,15
2226,1983,10,07
2227,1970,06,04
2228,1981,09,14
2229,1962,12,12
2230,1956,09,20
2231,1995,11,17
2232,2004,02,10
2233,1944,07,24
2234,2018,04,30
2235,1963,06,01
2236,1995,11,23
2237,1969,06,12
2238,2011,11,05
2239,2018,11,12
2240,1958,08,02
2241,2000,01,09
2242,1963,08,02
2243,1962,10,26
2244,1948,10,12
2245,2011,01,22
2246,1960,04,10
2247,1941,12,19
2248,1956,12,29
2249,1997,12,26
2250,1973,06,15
2251,2001,12,16
2252,2004,05,09
2253,1953,07,10
2254,1940,05,22
2255,1978,10,20
2256,2008,06,10
2257,1968,05,27
2258,1982,05,08
2259,1948,04,03
2260,1989,07,04
2261,1975,02,04
2262,1961,03,05
2263,2017,10,20
2264,1964,04,10
2265,2003,06,25
2266,1988,07,29
2267,2019,10,31
2268,2012,08,23
2269,1985,04,27
2270,1970,02,11
2271,2010,03,09
2272,1976,05,20
2273,1974,08,20
2274,2011,11,23
2275,1953,10,18
2276,1966,02,11
2277,1972,10,10
2278,1952,04,11
2279,1953,11,03
2280,2002,10,26
2281,1986,04,25
2282,2017,12,19
2283,1959,01,23
2284,1981,05,08
2285,2010,08,15
2286,1993,11,09
2287,1969,08,25
2288,1962,08,23
2289,1979,09,24
2290,1995,12,28
2291,1958,05,29
2292,1960,10,30
2293,1940,02,01
2294,1994,12,15
2295,1998,12,13
2296,1984,10,24
2297,1998,06,23
2298,1948,07,24
2299,2006,09,23
2300,2012,09,20
2301,1961,03,06
2302,1976,01,17
2303,1970,11,20
2304,2007,07,27
2305,1967,04,04
2306,1981,01,12
2307,2017,10,18
2308,2005,08,12
2309,1975,07,21
2310,1942,01,19
2311,1972,10,16
2312,1989,08,04
2313,1944,04,10
2314,1949,10,20
2315,2008,04,13
2316,2009,06,11
2317,1959,12,23
2318,1971,02,18
2319,2002,06,02
2320,2006,03,18
2321,1992,04,25
2322,2012,08,26
2323,1951,01,10
2324,1989,09,27
2325,1994,01,18
2326,1963,04,09
2327,2014,12,28
2328,1995,12,11
2329,1972,11,26
2330,2015,05,12
2331,1984,04,05
2332,1961,05,20
2333,2001,05,11
2334,1954,07,30
2335,1964,02,17
2336,1996,09,06
2337,1967,10,26
2338,1968,10,29
2339,1977,06,15
2340,1941,12,01
2341,1990,03,17
2342,1949,06,30
2343,2011,07,22
2344,1949,03,03
2345,2018,08,27
2346,2001,12,09
2347,2011,02,01
2348,1996,04,04
2349,1965,04,11
2350,2016,04,18
2351,2001,12,11
2352,1980,12,15
2353,1964,09,28
2354,1951,10,10
2355,2016,10,13
2356,1997,06,11
2357,1947,03,15
2358,1947,09,25
2359,1994,03,05
2360,1977,11,29
2361,2005,10,14
2362,2005,08,16
2363,1986,04,13
2364,1961,06,18
2365,1954,12,01
2366,1982,01,22
2367,1990,12,30
2368,1943,02,08
2369,1970,06,07
2370,1984,10,31
2371,1992,01,22
2372,2001,04,09
2373,1953,10,14
2374,1943,06,20
2375,1995,07,02
2376,1989,09,18
2377,2005,04,17
2378,1944,12,15
2379,1960,05,19
2380,2012,04,13
2381,1978,04,20
2382,2018,10,23
2383,2019,03,26
2384,1971,05,09
2385,2003,09,02
2386,1994,02,06
2387,1941,10,07
2388,1945,12,17
2389,1953,06,22
2390,1951,05,10
2391,2006,09,04
2392,2004,03,24
2393,1984,10,11
2394,1958,09,13
2395,1988,12,13
2396,1969,11,03
2397,1963,08,21
2398,1997,09,29
2399,1971,10,01
2400,1940,01,22
2401,1985,05,21
2402,1979,04,20
2403,1948,10,23
2404,2016,07,27
2405,1945,11,30
2406,1987,08,05
2407,1946,03,06
2408,2017,04,08
2409,1974,05,05
2410,1985,03,11
2411,1949,08,08
2412,1985,10,05
2413,1999,08,28
2414,1979,05,04
2415,1977,06,27
2416,2018,02,23
2417,1985,12,22
2418,1986,03,16
2419,1997,11,28
2420,1942,12,28
2421,2015,07,11
2422,1945,02,13
2423,1966,03,30
2424,1944,12,10
2425,1950,01,15
2426,1986,12,14
2427,1970,06,28
2428,1947,01,07
2429,2010,07,15
2430,2011,07,07
2431,1947,01,28
2432,1979,03,09
2433,1941,01,25
2434,1989,07,06
2435,1982,08,13
2436,1953,08,14
2437,1954,11,29
2438,1999,08,24
2439,2012,06,29
2440,2009,12,18
2441,2006,12,28
2442,2011,10,02
2443,2018,03,29
2444,2011,08,03
2445,1962,07,18
2446,2001,12,07
2447,2002,07,14
2448,2010,06,09
2449,2010,09,04
2450,2010,05,04
2451,2008,04,13
2452,1996,10,13
2453,1941,02,21
2454,1947,11,14
2455,1972,12,14
2456,1956,07,29
2457,1941,04,13
2458,1983,09,12
2459,2010,09,17
2460,2012,09,05
2461,1978,09,01
2462,1988,08,10
2463,2011,07,07
2464,1954,08,24
2465,1953,07,03
2466,1964,05,07
2467,2003,09,28
2468,2000,05,26
2469,1941,08,28
2470,1965,05,08
2471,1996,12,07
2472,1960,06,30
2473,2007,02,18
2474,1978,12,25
2475,1961,04,23
2476,2008,11,17
2477,1952,09,27
2478,1996,08,15
2479,2006,06,19
2480,2012,06,27
2481,1948,03,27
2482,1984,04,17
2483,1954,10,27
2484,1994,10,24
2485,2018,09,10
2486,1974,08,28
2487,1979,07,16
2488,1967,08,31
2489,1946,07,31
2490,1981,08,07
2491,2016,03,04
2492,1977,08,07
2493,1950,09,25
2494,2002,02,24
2495,1944,08,08
2496,1966,01,30
2497,2009,02,01
2498,2012,04,27
2499,2001,05,04
2500,1976,01,30
2501,1976,05,28
2502,1994,12,12
2503,1990,05,17
2504,1986,06,24
2505,1960,11,12
2506,1998,05,12
2507,1977,05,23
2508,1985,08,13
2509,1977,01,18
2510,2005,09,17
2511,2001,12,21
2512,1956,04,17
2513,2001,02,13
2514,1975,04,15
2515,1973,06,19
2516,2005,02,07
2517,1958,03,11
2518,2008,07,08
2519,2018,06,12
2520,1951,08,13
2521,1952,07,28
2522,2013,02,03
2523,1953,12,16
2524,1992,12,06
2525,2017,10,03
2526,1987,11,26
2527,1951,06,07
2528,2002,01,21
2529,1961,01,19
2530,1958,02,19
2531,1990,12,31
2532,1968,10,14
2533,1946,01,08
2534,1944,07,31
2535,2012,02,01
2536,1978,03,28
2537,2016,11,11
2538,1965,01,28
2539,1995,05,10
2540,1963,10,30
2541,1980,04,14
2542,1981,03,15
2543,1940,10,29
2544,2009,11,10
2545,1959,08,28
2546,2009,05,22
2547,1987,01,18
2548,2000,05,24
2549,1980,04,21
2550,1991,04,06
2551,1989,07,03
2552,1993,08,06
2553,2003,05,19
2554,2010,08,23
2555,1997,03,27
2556,1984,08,31
2557,1969,07,02
2558,1950,01,02
2559,1972,07,13
2560,1974,07,24
2561,1957,08,17
2562,1954,02,01
2563,1969,09,19
2564,1996,06,03
2565,2014,02,15
2566,1958,03,16
2567,1982,08,27
2568,1976,03,30
2569,1978,11,17
2570,1954,05,29
2571,1950,04,01
2572,1983,03,05
2573,1960,03,08
2574,1954,08,24
2575,1967,03,17
2576,1966,08,16
2577,1996,01,18
2578,1978,06,26
2579,1966,01,04
2580,2018,10,10
2581,2000,11,05
2582,1956,05,27
2583,2018,05,10
2584,1999,06,13
2585,1959,04,08
2586,1955,02,25
2587,1999,07,18
2588,2010,09,30
2589,1956,09,01
2590,1968,04,08
2591,2011,03,23
2592,1940,04,20
2593,1942,11,04
2594,1980,01,02
2595,1992,04,08
2596,2015,07,16
2597,2008,01,13
2598,1982,09,16
2599,1970,03,01
2600,1977,06,25
2601,1986,01,18
2602,2011,03,16
2603,1976,04,08
2604,1989,04,19
2605,1959,07,20
2606,1959,06,26
2607,1970,09,18
2608,1940,08,22
2609,1969,11,03
2610,2019,07,10
2611,2006,11,28
2612,1946,04,04
2613,1976,02,29
2614,2000,03,02
2615,1995,01,19
2616,1960,07,18
2617,1982,04,17
2618,1973,07,05
2619,1960,09,26
2620,1942,03,14
2621,1958,09,04
2622,2006,07,07
2623,1994,12,11
2624,1991,08,01
2625,1984,04,14
2626,1992,11,01
2627,1996,05,09
2628,2005,05,15
2629,1968,04,26
2630,1992,05,10
2631,2010,09,25
2632,1996,07,01
2633,1965,11,30
2634,1964,11,20
2635,2000,09,13
2636,2005,06,18
2637,1978,01,25
2638,1993,03,24
2639,1956,08,26
2640,1956,04,03
2641,1993,05,13
2642,2017,12,26
2643,2007,04,16
2644,1992,09,10
2645,1940,12,04
2646,1997,12,02
2647,1980,12,25
2648,1949,09,30
2649,1945,02,11
2650,2013,10,01
2651,1990,08,23
2652,1948,10,13
2653,1976,03,26
2654,1982,03,06
2655,1963,05,22
2656,1977,10,29
2657,1981,01,22
2658,2011,12,21
2659,1950,09,22
2660,1942,09,04
2661,2009,10,24
2662,1952,06,27
2663,1990,12,10
2664,2015,08,14
2665,1957,06,29
2666,1962,06,29
2667,1981,09,17
2668,2003,04,07
2669,2006,03,31
2670,1998,01,13
2671,1963,05,17
2672,2019,05,04
2673,2014,08,19
2674,1966,11,20
2675,2009,03,06
2676,2013,06,26
2677,1993,09,18
2678,2007,08,18
2679,1989,05,25
2680,1960,05,20
2681,1983,12,28
2682,2010,10,02
2683,1999,03,14
2684,1982,11,10
2685,1988,12,07
2686,1975,05,15
2687,1941,03,18
2688,2005,07,19
2689,1967,04,26
2690,1999,07,04
2691,1999,05,15
2692,1970,03,26
2693,1946,05,29
2694,1995,01,05
2695,1996,06,26
2696,1986,06,19
2697,1979,03,17
2698,1972,08,31
2699,1955,01,10
2700,2004,11,20
2701,1959,10,06
2702,1971,11,02
2703,2006,08,24
2704,2003,01,14
2705,1969,06,19
2706,1986,08,11
2707,2013,08,23
2708,1950,10,13
2709,1953,12,08
2710,1977,07,09
2711,1940,05,16
2712,1981,11,14
2713,1978,09,19
2714,2019,09,02
2715,1945,02,19
2716,1972,04,22
2717,1982,02,01
2718,1982,01,17
2719,1981,07,18
2720,1960,09,23
2721,1981,06,06
2722,1961,11,01
2723,1992,07,27
2724,2011,06,03
2725,1971,04,25
2726,1970,10,05
2727,1973,10,23
2728,2001,09,08
2729,2010,09,17
2730,1971,10,23
2731,1948,06,07
2732,2018,10,30
2733,1999,06,23
2734,1999,01,10
2735,2014,11,28
2736,1968,08,11
2737,2004,04,29
2738,1994,04,12
2739,1987,12,23
2740,2005,02,23
2741,1941,02,12
2742,1980,06,15
2743,1960,07,10
2744,2018,05,25
2745,2006,02,21
2746,1962,04,28
2747,1945,01,23
2748,2014,09,15
2749,1976,09,24
2750,1980,04,25
2751,1966,06,24
2752,1991,07,24
2753,2005,04,28
2754,2014,07,24
2755,1962,08,05
2756,1977,01,29
2757,1944,12,22
2758,1948,11,21
2759,2011,11,03
2760,1984,03,02
2761,1973,10,02
2762,1960,09,20
2763,1981,09,24
2764,2017,03,14
2765,2010,06,06
2766,1999,09,30
2767,1977,04,30
2768,1984,05,02
2769,1964,04,27
2770,1987,11,22
2771,1979,09,20
2772,2018,05,25
2773,1967,05,13
2774,1943,06,13
2775,1999,08,10
2776,1952,05,21
2777,2012,11,29
2778,1953,05,13
2779,1947,04,15
2780,1980,02,17
2781,1965,01,25
2782,1975,01,19
2783,1940,03,17
2784,1972,05,04
2785,1986,09,15
2786,1995,02,23
2787,1979,01,05
2788,1998,08,20
2789,1982,06,11
2790,1948,10,20
2791,1945,08,26
2792,1981,12,09
2793,1979,06,30
2794,2019,06,30
2795,2017,11,17
2796,1991,03,19
2797,2007,05,05
2798,1986,08,24
2799,1997,07,17
2800,1947,10,11
2801,1971,02,28
2802,1995,04,15
2803,1988,04,26
2804,2001,02,06
2805,1972,02,09
2806,1967,05,28
2807,1950,01,21
2808,1969,04,05
2809,1967,07,02
2810,2019,05,20
2811,2005,03,11
2812,1945,02,25
2813,2015,05,09
2814,1995,10,26
2815,1956,09,17
2816,1979,08,16
2817,1988,05,26
2818,1964,12,13
2819,1984,01,23
2820,1944,12,06
2821,2005,09,30
2822,2006,04,22
2823,1960,08,26
2824,1968,12,11
2825,1958,08,20
2826,2004,03,15
2827,2004,01,19
2828,1997,02,13
2829,1969,09,21
2830,1986,06,25
2831,1941,04,23
2832,2012,10,26
2833,2000,09,19
2834,2002,10,03
2835,1981,10,23
2836,1964,05,26
2837,1996,03,18
2838,2018,03,29
2839,1956,05,31
2840,1953,09,22
2841,1956,03,21
2842,1971,09,02
2843,1944,03,29
2844,1949,03,14
2845,1951,04,19
2846,2005,07,04
2847,1979,02,04
2848,1981,06,10
2849,1958,08,30
2850,1985,01,14
2851,2001,01,18
2852,1954,02,03
2853,2000,10,30
2854,2009,11,28
2855,1958,04,04
2856,1962,03,31
2857,1973,09,28
2858,1949,08,08
2859,1976,05,04
2860,1946,09,30
2861,1943,05,29
2862,1991,09,18
2863,2013,01,27
2864,2005,08,23
2865,2009,12,30
2866,2007,08,05
2867,1958,10,23
2868,1996,11,15
2869,2014,08,21
2870,2015,03,11
2871,1964,04,19
2872,2010,11,06
2873,1955,06,20
2874,1998,07,05
2875,1987,06,12
2876,1998,05,02
2877,1971,08,17
2878,2009,12,03
2879,2018,11,24
2880,2014,11,08
2881,1979,11,08
2882,1942,05,06
2883,1992,08,14
2884,2008,07,10
2885,2001,07,26
2886,1952,11,06
2887,1977,10,10
2888,1941,08,25
2889,1946,03,22
2890,1985,12,20
2891,1996,08,29
2892,2009,11,24
2893,1946,07,15
2894,1969,04,14
2895,1943,05,16
2896,1944,07,18
